,ALLGRADEX,SEGRADES,CENREG,EDCPUB,EDCCAT,EDCREL,EDCPRI,EDCINTK12,EDCHSFL,DISTASSI,SCHRTSCHL,SCHLMAGNET,SEENJOY,SEABSNT,FCSCHOOL,FCTEACHR,FCSTDS,FHHOME,FHWKHRS,FOSTORY2X,FOCRAFTS,FOGAMES,FOBUILDX,FOSPORT,FORESPON,FOHISTX,FODINNERX,FOLIBRAYX,FOBOOKSTX,FOCONCRTX,FOMUSEUMX,FOZOOX,FOGROUPX,HHENGLISH,CSPEAKX,HHTOTALXX,HHPRTNRSX,P1REL,P1SEX,P1AGE,P2AGE,P2REL,P2SEX,P2MRSTA,PAR1EMPL,PAR1FTFY,PAR2FTFY,NUMSIBSX,TTLHHINC,OWNRNTHB,HVINTSPHO,HVINTCOM,INTACC,CHLDNT,LRNCOMP,LRNTAB,LRNCELL
0,12,1,4,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2,2.0,2,1,2,2,1,4,2,1,1,2,1,2,1,1,7,2,2,2,2,2,2,2,2,4.0,0.0,1,2,52,53,1,1,1,3,2,1,1,8,2,1.0,1.0,1.0,1.0,1.0,2.0,1.0
1,9,1,2,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2,2.0,2,1,1,1,1,3,5,2,2,1,1,1,1,1,3,2,2,1,2,2,1,1,2,4.0,0.0,1,1,48,47,1,2,1,1,1,1,1,10,1,1.0,1.0,1.0,2.0,1.0,2.0,2.0
2,8,1,2,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2,2.0,1,1,1,2,1,3,10,1,2,1,1,2,1,2,7,2,2,2,2,2,1,1,2,5.0,0.0,1,2,34,33,3,1,1,3,2,1,2,3,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,9,1,3,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2,2.0,2,1,1,1,1,4,10,1,2,1,2,2,1,2,7,1,2,1,2,2,2,1,2,4.0,0.0,1,1,49,46,1,2,1,1,1,1,1,11,1,1.0,1.0,1.0,1.0,1.0,1.0,2.0
4,15,2,3,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2,2.0,1,1,2,2,2,2,5,1,2,1,2,1,1,2,0,2,2,2,2,2,2,1,2,5.0,0.0,1,2,38,38,1,1,5,1,1,3,2,3,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,12,1,1,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2,2.0,3,1,1,1,1,3,3,2,2,2,2,2,1,1,2,2,2,2,2,2,2,1,2,4.0,0.0,1,2,45,44,1,1,1,1,1,1,1,10,1,1.0,1.0,1.0,1.0,1.0,2.0,1.0
6,6,2,3,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2,2.0,3,1,1,1,1,4,3,2,2,2,2,2,2,2,1,1,2,2,2,2,2,1,2,3.0,0.0,1,1,32,39,1,2,1,1,1,2,0,8,1,1.0,1.0,1.0,3.0,1.0,2.0,2.0
7,14,2,2,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2,2.0,2,1,1,1,1,4,24,1,2,2,2,1,1,1,7,2,2,2,2,2,2,2,3,5.0,0.0,1,2,39,40,1,1,1,4,3,1,2,5,2,1.0,2.0,3.0,2.0,2.0,2.0,1.0
8,9,1,3,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2,2.0,2,1,2,2,2,2,8,1,2,2,1,1,2,2,7,2,1,1,1,2,1,1,2,5.0,0.0,1,2,50,58,1,1,1,4,3,1,2,8,1,1.0,1.0,1.0,3.0,1.0,1.0,2.0
9,7,1,2,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2,2.0,2,1,2,3,1,1,1,1,1,1,2,1,1,1,7,1,2,2,2,2,2,1,2,3.0,0.0,1,2,48,47,1,1,1,4,3,1,0,7,1,1.0,1.0,1.0,2.0,1.0,1.0,2.0
